ccl_grana_filename,ccl_grana_processing_time(ms),ccl_wu_processing_time(ms),findContours_processing_time(ms),ccl_grana < findContours,ccl_wu < findContours
..\ccl_data\jpg_files\Sparse\KK_W\n=2000d=8_417.jpg,565813,755671,505781,,
..\ccl_data\jpg_files\Sparse\KK_W\n=3000d=10_250.jpg,1315326,1843586,1147588,,
..\ccl_data\jpg_files\Sparse\KK_W\n=3000d=12_247.jpg,1295996,1958961,1214302,,
..\ccl_data\jpg_files\Sparse\KK_W\n=3000d=15_239.jpg,1459441,1862324,1370680,,
..\ccl_data\jpg_files\Sparse\KK_W\n=3000d=6_228.jpg,1374312,1755645,1158593,,
..\ccl_data\jpg_files\Sparse\KK_W\n=3000d=8_268.jpg,1375552,1771865,1164978,,
..\ccl_data\jpg_files\Sparse\KK_W\n=500d=10_2964.jpg,67908,64496,114109,1,1
..\ccl_data\jpg_files\Sparse\KK_W\n=500d=12_2805.jpg,48040,61185,56135,1,
..\ccl_data\jpg_files\Sparse\KK_W\n=500d=15_2837.jpg,61081,53073,58282,,1
..\ccl_data\jpg_files\Sparse\KK_W\n=500d=6_2628.jpg,72199,66837,59013,,
..\ccl_data\jpg_files\Sparse\KK_W\n=500d=8_2489.jpg,58841,53487,50163,,
..\ccl_data\jpg_files\Sparse\LINLOG\n=1000d=10_9016.jpg,124811,222343,122926,,
..\ccl_data\jpg_files\Sparse\LINLOG\n=1000d=12_514.jpg,111715,154804,99466,,
..\ccl_data\jpg_files\Sparse\LINLOG\n=1000d=15_8570.jpg,116890,154461,118649,1,
..\ccl_data\jpg_files\Sparse\LINLOG\n=1000d=6_10202.jpg,122671,167550,110735,,
..\ccl_data\jpg_files\Sparse\LINLOG\n=1000d=8_9513.jpg,112810,176527,119765,1,
..\ccl_data\jpg_files\Sparse\LINLOG\n=2000d=10_4416.jpg,387002,710101,393526,1,
..\ccl_data\jpg_files\Sparse\LINLOG\n=2000d=12_4034.jpg,467681,797865,351501,,
..\ccl_data\jpg_files\Sparse\LINLOG\n=2000d=15_3580.jpg,373276,645495,353744,,
..\ccl_data\jpg_files\Sparse\LINLOG\n=2000d=6_4661.jpg,508615,705054,1277098,1,1
..\ccl_data\jpg_files\Sparse\LINLOG\n=2000d=8_4287.jpg,384460,719290,411589,1,
..\ccl_data\jpg_files\Sparse\LINLOG\n=3000d=10_2545.jpg,906815,1482491,795360,,
..\ccl_data\jpg_files\Sparse\LINLOG\n=3000d=12_2576.jpg,756203,1654411,847490,1,
..\ccl_data\jpg_files\Sparse\LINLOG\n=3000d=15_2353.jpg,832781,1468867,894244,1,
..\ccl_data\jpg_files\Sparse\LINLOG\n=3000d=6_2832.jpg,936962,1643769,933848,,
..\ccl_data\jpg_files\Sparse\LINLOG\n=3000d=8_1749.jpg,918086,1621818,863850,,
..\ccl_data\jpg_files\Sparse\LINLOG\n=500d=10_13870.jpg,59547,64827,91026,1,1
..\ccl_data\jpg_files\Sparse\LINLOG\n=500d=12_13319.jpg,35907,51861,61348,1,1
..\ccl_data\jpg_files\Sparse\LINLOG\n=500d=15_11615.jpg,46488,60834,39022,,
..\ccl_data\jpg_files\Sparse\LINLOG\n=500d=6_21143.jpg,51042,82778,35944,,
..\ccl_data\jpg_files\Sparse\LINLOG\n=500d=8_13486.jpg,62280,56848,70110,1,1
..\ccl_data\jpg_files\Uniform\DH\n=1000d=10_45.jpg,153073,244346,140985,,
..\ccl_data\jpg_files\Uniform\DH\n=1000d=12_47.jpg,136669,242350,135160,,
..\ccl_data\jpg_files\Uniform\DH\n=1000d=15_41.jpg,179224,203456,118681,,
..\ccl_data\jpg_files\Uniform\DH\n=1000d=6_43.jpg,156102,172538,96946,,
..\ccl_data\jpg_files\Uniform\DH\n=1000d=8_44.jpg,156628,179685,130747,,
..\ccl_data\jpg_files\Uniform\DH\n=2000d=10_10.jpg,442854,703934,449474,1,
..\ccl_data\jpg_files\Uniform\DH\n=2000d=12_10.jpg,472035,712098,484524,1,
..\ccl_data\jpg_files\Uniform\DH\n=2000d=15_11.jpg,454990,669494,387967,,
..\ccl_data\jpg_files\Uniform\DH\n=2000d=6_10.jpg,455914,1809840,365641,,
..\ccl_data\jpg_files\Uniform\DH\n=2000d=8_9.jpg,533066,741051,540964,1,
..\ccl_data\jpg_files\Uniform\DH\n=3000d=10_4.jpg,1095476,1691908,1147505,1,
..\ccl_data\jpg_files\Uniform\DH\n=3000d=12_5.jpg,1122294,1703022,1107883,,
..\ccl_data\jpg_files\Uniform\DH\n=3000d=15_4.jpg,1038559,1685267,1090693,1,
..\ccl_data\jpg_files\Uniform\DH\n=3000d=6_4.jpg,1151323,1680452,907998,,
..\ccl_data\jpg_files\Uniform\DH\n=3000d=8_4.jpg,1207085,1867988,1094226,,
..\ccl_data\jpg_files\Uniform\DH\n=500d=10_189.jpg,61059,76675,79434,1,1
..\ccl_data\jpg_files\Uniform\DH\n=500d=12_208.jpg,47872,53518,44190,,
..\ccl_data\jpg_files\Uniform\DH\n=500d=15_203.jpg,50450,55509,62175,1,1
